platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,time_spent,timestamp
WebGLPlayer,0.0,100,1.2,100,5.0,1773610475.0,1,1.0,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,5uA7zsBDWk8LPvMYxxcX,,
WebGLPlayer,0.0,17,1.2,14,6.0,1773280387.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,63C4sTJk1DG2MUBjrhqx,,
WebGLPlayer,,100,1.0,100,,,1,,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,63JSjCmaMeWTcndESvok,21.1209068,2026-02-25 05:48:15.440000+00:00
WebGLPlayer,,100,1.1,100,3.0,1772682764.0,1,,dd45b31c-7ee3-4f57-aa3d-bd465a10fb42,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,68Ercjw0TGkiIDhIVBwk,7.591995,1772682764014
WebGLPlayer,0.0,49,1.2,46,4.0,1773275053.0,2,0.0,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,6hFXM3RtjcKF6NoL6HeU,,
WebGLPlayer,0.0,67,1.2,66,4.0,1773274317.0,1,1.0,69e6bcf3-1aa7-418f-82e3-7256c4d066ee,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,6rvJFjDWNIvfZIRkjBSU,,
WebGLPlayer,,100,1.0,100,,,1,,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,7E6GU6KJkA7DegpatkyU,54.2613373,2026-02-25 05:47:33.944000+00:00
WebGLPlayer,,100,1.0,100,,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,7FKHNTwLk8J38dY4JCGS,41.5645447,2026-02-25 04:32:29.159000+00:00
WebGLPlayer,0.0,100,1.2,100,5.0,1773358876.0,1,0.0,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,7kdNoWNBpIfzhgU4u5kq,,
WebGLPlayer,,100,1.0,100,,,1,,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,https://bmanske505.github.io/Escape-The-Forest/,8iZtht1bgeo7nhNdD1KW,9.757968,2026-02-28 00:16:02.954000+00:00
WebGLPlayer,0.0,100,1.2,100,6.0,1773359009.0,1,0.0,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,9CH5PJJcutd32lgSiRsv,,
WebGLPlayer,0.0,17,1.2,14,4.0,1773257495.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,9Nx6ChGTX4NsTDEQgXGC,,
