platform,sensitivity_x,version,sensitivity_y,level,playthrough,timestamp,userId,domain,_doc_id,music,unix_time,ab_group
WebGLPlayer,100,1.0,100,4,1,2026-02-25 01:55:21.697000+00:00,48d112f6-a109-4804-95d5-fd9956b1ade6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Uh6lXtJA2g8rWFYMvaEl,,,
WebGLPlayer,100,1.0,100,5,1,2026-02-26 04:09:39.702000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,Us8ikoiNpFaq5P5ZkT77,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-26 04:02:24.367000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,WQ2uVUGAlq2YRqZTVEaR,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-25 05:48:04.526000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,aUWXfdwplFuZZqUF3RRr,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-25 05:41:54.123000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,ab1vh6J58W2crQZpyuJn,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-26 07:06:49.426000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,bZCcs48Sgx3AGysEvcty,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-25 04:56:52.981000+00:00,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,blwLi1E7VkZHhHbqfKDL,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-26 02:30:52.732000+00:00,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,cUWJhAbYI75pbO3W9qnQ,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-26 07:05:49.868000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,crKprcBxICpV5ehs84cY,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-25 01:52:31.073000+00:00,48d112f6-a109-4804-95d5-fd9956b1ade6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,d3JRssj1XIljjiEindwh,,,
WebGLPlayer,100,1.0,100,5,1,2026-02-26 04:10:02.819000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,dt8ucKRzYnoRKXs176jW,,,
WebGLPlayer,100,1.0,100,6,1,2026-02-25 05:46:14.634000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,g0ze3cpRJtDq0gMbSgcJ,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-26 04:07:05.422000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,hO1hXrLmTbBCz3mjD24y,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-25 04:59:16.273000+00:00,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,iGE7FN2n8OGEsPQeKarP,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-25 05:28:54.492000+00:00,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,iukRy8yzJdIsjaU3wvyV,,,
WebGLPlayer,100,1.2,100,5,1,,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,jPp55xf7Via4jfU4TIFD,0.0,1773610409.0,1.0
WebGLPlayer,100,1.0,100,4,1,2026-02-26 03:59:24.907000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,l5xpW5ezT6AYWGbWSwIT,,,
WebGLPlayer,100,1.0,100,6,1,2026-02-25 05:57:36.027000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,lM0GmFOD3oA0hYGnEeyH,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-26 04:07:30.673000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,pRF85oinvtNVazZVbOAl,,,
WebGLPlayer,100,1.0,100,6,1,2026-02-25 05:50:03.931000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,qZ3QTAsHM81MQi0vYGqc,,,
WebGLPlayer,100,1.0,100,5,1,2026-02-26 04:08:36.979000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,riWjXq7L2i2FJbKmKVSr,,,
WebGLPlayer,100,1.2,100,5,1,,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,tJrvjghtd1vFabPxGOkB,0.0,1773610352.0,1.0
WebGLPlayer,100,1.2,100,6,1,,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,ujQ7HAPrasGpFJ4mMOFu,0.0,1773359013.0,0.0
WebGLPlayer,100,1.0,100,5,1,2026-02-25 05:30:12.653000+00:00,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,wMgMPK93XiKUwCazLuLG,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-25 05:48:20.433000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,wcSR5kDKrqQAWybjEo2K,,,
WebGLPlayer,100,1.0,100,6,1,2026-02-25 05:57:05.118000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,zFM8gNJQmr9ywnnYjUH7,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-26 04:04:34.134000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,zYUtKRBYPVKPmeP5Kth2,,,
