platform,level,cause,sensitivity_y,sensitivity_x,version,playthrough,timestamp,userId,domain,_doc_id,music,unix_time,ab_group
WebGLPlayer,6,,100,100,1.2,1,,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,Hn4gm2H9JdzqgooRx1NF,0.0,1773358938.0,0.0
WebGLPlayer,3,trigger,100,100,1.1,1,1772672955608,42993cc6-9738-4aac-ae31-6d6f44a79105,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,HtfZffIvDlAAouOp1Itr,,1772672955.0,
WebGLPlayer,4,,66,67,1.2,1,,69e6bcf3-1aa7-418f-82e3-7256c4d066ee,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,IcVHAQwEjpkBBDPZzUki,0.0,1773274155.0,1.0
WebGLPlayer,4,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,IksVqInu4113xSi4W4n2,0.0,1773257469.0,1.0
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-25 05:05:34.047000+00:00,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,JfXXEbnKyvnCktXk2kqA,,,
WebGLPlayer,3,trigger,100,100,1.0,1,2026-02-25 05:37:28.773000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,JhmU2aYEaCcV3NfNPcbS,,,
WebGLPlayer,4,,66,67,1.2,1,,69e6bcf3-1aa7-418f-82e3-7256c4d066ee,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,Jp5Igv6keyOany5afQBp,0.0,1773274292.0,1.0
WebGLPlayer,3,trigger,100,100,1.0,1,2026-02-26 06:49:05.677000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,JpbPEBit5fnfHzsdbNzj,,,
WebGLPlayer,4,,46,49,1.2,2,,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,KAAiDXCxMBLFQQ6ybuuQ,0.0,1773274841.0,0.0
WebGLPlayer,6,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,Krnmdrl03Hav7S4UNnNz,0.0,1773280360.0,1.0
WebGLPlayer,3,,46,49,1.2,2,,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,KuKU4uCNqoyhzPfvGz0U,0.0,1773273448.0,0.0
WebGLPlayer,4,stalker,100,100,1.0,1,2026-02-25 05:07:48.410000+00:00,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Kuqeh5yEXMbOlaFhTmHC,,,
WebGLPlayer,3,,100,100,1.2,1,,835cc004-e460-4809-9d0d-4e5eb18def5c,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,LAPM2XE0p3pTGDAnGfA8,0.0,1773851289.0,1.0
WebGLPlayer,4,stalker,100,100,1.0,1,2026-02-26 04:06:17.477000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,LULOLqTS06P2CO91S3aH,,,
WebGLPlayer,5,,100,100,1.2,1,,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,LaNUaNtAknlWDCSiepVk,0.0,1773604727.0,1.0
WebGLPlayer,3,trigger,100,100,1.0,1,2026-02-26 02:17:45.329000+00:00,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,MOSw4Wi2ClzhtgY2RBsF,,,
WebGLPlayer,4,trigger,100,100,1.0,1,2026-02-25 05:48:08.025000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,MTeNIxNZMxcCU9h1yKEJ,,,
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-25 01:50:39.039000+00:00,48d112f6-a109-4804-95d5-fd9956b1ade6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Me6A03gypdy72yUHq3Wk,,,
WebGLPlayer,4,trigger,47,54,1.0,1,2026-02-26 02:18:13.817000+00:00,12ea51bf-5b57-4891-a08f-a0a9cb036581,https://bmanske505.github.io/Escape-The-Forest/,MeDswXxXd2tFpPeGPrc6,,,
WebGLPlayer,2,trigger,100,100,1.0,1,2026-02-25 18:39:51.700000+00:00,ef62f788-2864-4fa4-a004-d90d2597b88f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,MpMMuMuFjw5JhJh7s2TW,,,
WebGLPlayer,4,,100,100,1.2,1,,9499e297-7432-4864-933c-088679dad8ff,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,MvNxjFP1wmAXVVtiAhl6,0.0,1773334251.0,1.0
