platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,timestamp,type
WebGLPlayer,,100,1.0,100,4,,1,,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,365GfGOhCCm6KBPLwef9,2026-02-25 02:42:58.873000+00:00,
WebGLPlayer,,8,1.1,7,3,1772511731.0,1,,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,3HZNIMLlq5LWMaJUnoPF,1772511731087,Dog
WebGLPlayer,,6,1.1,8,1,1772586857.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,3P6LxEerqIpTusRYzuM5,1772586857321,Dog
WebGLPlayer,0.0,100,1.2,100,1,1773333777.0,1,1.0,9499e297-7432-4864-933c-088679dad8ff,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,3UXurJeR5sDr2RZxkkx8,,
WebGLPlayer,,6,1.1,8,1,1772587519.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,3pW5uUDBIbQwG6FRJtgp,1772587519506,Dog
WebGLPlayer,0.0,100,1.2,100,1,1773441667.0,1,1.0,d154921d-2ace-4a28-b91c-6a2b81b22a60,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,411tmlP6illwvNNHQvlu,,
WebGLPlayer,,100,1.1,100,1,1772581123.0,1,,abe7a704-a290-487d-bf25-e1a1be6e86ac,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,4bdwxfzZUCLB9nWagOTp,1772581123058,Dog
WebGLPlayer,,54,1.0,47,4,,1,,12ea51bf-5b57-4891-a08f-a0a9cb036581,https://bmanske505.github.io/Escape-The-Forest/,4keQ4q7FdliAreYIWNcc,2026-02-26 02:14:54.441000+00:00,
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,5FhIc526nT25sRzdN9S6,2026-02-25 04:28:08.337000+00:00,
WebGLPlayer,,100,1.1,100,1,1772518109.0,1,,90ae50a2-1e30-46e6-ac38-7a23acdfbef8,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,5HkyQNPp7YVyDYy4EH5V,1772518109084,Dog
