sensitivity_y,timestamp,time_spent,level,domain,flashlight_pct_on,playthrough,sensitivity_x,platform,userId,version,_doc_id,unix_time
100,2026-02-25 23:03:41.114000+00:00,22.324028,1,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,1,100,WebGLPlayer,d45cf436-5581-4a62-bfa6-e33dea22d1da,1.0,EN1HxoWQG0KYqWxwJ8T5,
100,2026-02-25 04:41:58.027000+00:00,472.979736,2,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,1.0,EQLdhkhzcSBu98RIykfZ,
100,2026-02-25 05:58:09.876000+00:00,929.1396,6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0263816826,1,100,WebGLPlayer,fb093188-7616-4e0f-8509-4279e51245ec,1.0,FzMYDcydBkk8YuVA5lvH,
100,1772671611440,104.102409,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,581f26f8-3555-474f-bfad-56bae920a4aa,1.1,G4jyqQJtD9Hfi1BW17Ck,1772671611.0
100,2026-02-25 01:45:46.137000+00:00,15.9030352,0,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,48d112f6-a109-4804-95d5-fd9956b1ade6,1.0,GhKR9jl9Hbjm72ODQW44,
100,2026-02-25 18:33:29.469000+00:00,22.7260189,0,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,28e05da8-82dd-48f0-af05-a3e93b3b09ea,1.0,HBPaOcNhtXg0SJsEHLR8,
100,2026-02-26 00:07:30.052000+00:00,62.5670128,0,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,2,100,WebGLPlayer,d0826227-0ba6-40a9-88b0-823d1c437007,1.0,He4iFi69BWYUT67uDdsu,
100,1772650080212,79.9857,2,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,e0387235-a3d5-4ddd-8fa6-bda81981cc26,1.1,Im5yeacIOdDjc9en4GaQ,1772650080.0
100,2026-02-25 05:34:09.817000+00:00,22.3040276,0,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,10399faa-8e46-46d7-95ef-6e50cb706ee6,1.0,IsAefLgv9kTpwvuan9J4,
100,1772570469379,37.4333,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,535c35fa-1611-4b2c-9a64-0a7b01315073,1.1,JExIMeD8FfdjxVlffmqK,1772570469.0
100,2026-02-25 05:27:32.459000+00:00,255.84227,3,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.04702279,1,100,WebGLPlayer,7df36adf-44de-4187-9323-696cee2fb545,1.0,JKTgcHGZ4VU1Xzi79uWF,
100,2026-02-26 02:13:25.219000+00:00,52.31256,1,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,1,100,WebGLPlayer,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,1.0,JrXs4BWHAPcB9TP8CAwr,
100,2026-02-25 18:33:29.524000+00:00,0.035,1,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,28e05da8-82dd-48f0-af05-a3e93b3b09ea,1.0,JxRoJaUYThwpIirK3rbW,
100,2026-02-26 03:34:57.253000+00:00,166.276764,2,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0542058162,1,100,WebGLPlayer,2b5f5563-355f-4ed4-be41-a21cfbb88aea,1.0,K7PpkAmSVITd3zsCEMiZ,
100,2026-02-26 20:45:33.321000+00:00,82.42939,0,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,1,100,WebGLPlayer,140c3497-a723-4a52-8bb9-582edf7fd8b9,1.0,L0omoJ2jykAererBjZCQ,
100,1772577960569,10.2173548,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,56d0a467-5390-4bc8-9f5a-ecdd8ccab9f3,1.1,M1waOJDR8pFpkmwhuujC,1772577960.0
100,1772574580738,113.306732,1,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,3fa752ab-40eb-4e77-aca7-ce8162fd64e6,1.1,MzhKBPJMpXR9SeMII6vj,1772574580.0
100,1772672729204,99.74001,2,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,42993cc6-9738-4aac-ae31-6d6f44a79105,1.1,NaAgvGGX3BcCR2sVF967,1772672729.0
100,1772586673435,183.61171,3,https://bmanske505.github.io/Escape-The-Forest/,0.0,3,100,WebGLPlayer,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,1.1,O1ojlQKt5u39NGx2ebzW,1772586673.0
100,2026-02-25 01:48:43.214000+00:00,143.463623,2,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0475026853,1,100,WebGLPlayer,48d112f6-a109-4804-95d5-fd9956b1ade6,1.0,ORsuwXECqkCGo78Rx3RR,
100,1772582221466,13.8097143,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,04d2ce15-86ec-4a2b-821e-61fa8f629112,1.1,OT1z8i4k6tNbphqokdVy,1772582221.0
100,2026-02-25 18:34:30.336000+00:00,0.029,2,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,28e05da8-82dd-48f0-af05-a3e93b3b09ea,1.0,OVFG9ynwsW5VMFxWi8NU,
100,2026-02-28 00:16:57.262000+00:00,83.16599,1,https://bmanske505.github.io/Escape-The-Forest/,0.0,1,100,WebGLPlayer,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,1.0,Rq0WVFz4N7bHtgjKuMOh,
100,1772649684861,8.931337,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,e0387235-a3d5-4ddd-8fa6-bda81981cc26,1.1,SJ8a8SOYOvxEFvUD4xRg,1772649684.0
100,2026-02-25 05:51:04.175000+00:00,123.543465,5,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.153074011,1,100,WebGLPlayer,10399faa-8e46-46d7-95ef-6e50cb706ee6,1.0,SZDI3MZJonZkVATQPsCd,
100,2026-02-25 01:50:27.895000+00:00,0.055,4,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0598030649,1,100,WebGLPlayer,48d112f6-a109-4804-95d5-fd9956b1ade6,1.0,Sd2hpqGXTtNxOTyW5BES,
100,1772682609971,135.98674,1,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,dd45b31c-7ee3-4f57-aa3d-bd465a10fb42,1.1,SpXu5DnO47CLsCapx3jP,1772682609.0
100,2026-02-26 00:19:11.110000+00:00,454.971924,2,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,2,100,WebGLPlayer,d0826227-0ba6-40a9-88b0-823d1c437007,1.0,SqElsKdnWgFsNhSOiM9V,
100,2026-02-25 04:19:10.059000+00:00,393.974762,3,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,2,100,WebGLPlayer,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,1.0,TY80amvdjIrkj8c2oHMv,
100,2026-02-25 05:36:57.323000+00:00,117.262306,1,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,fb093188-7616-4e0f-8509-4279e51245ec,1.0,UF875xEgIAzNk2UyRt2l,
5,1772549549772,155.805328,2,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,5,WebGLPlayer,1f510df4-b380-4bf3-9798-b3c6f23e8d37,1.1,USaNkkSAQ9bHfko7wLMu,1772549549.0
5,1772549385189,216.414017,1,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,5,WebGLPlayer,1f510df4-b380-4bf3-9798-b3c6f23e8d37,1.1,UlMtmNzrwSa0vZabCP3q,1772549385.0
100,2026-02-25 19:37:44.868000+00:00,27.48525,1,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,1,100,WebGLPlayer,d5b5b4bc-0911-4b4e-9bc3-66ebdc1c9bd0,1.0,UnATy3oVOlCYNPqJ7wuG,
100,1772674087605,16.36132,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,e7a86bc3-4385-4dae-b96b-80ec5bb16bab,1.1,UrOU5Ogaz2CmITsGBL2R,1772674087.0
100,2026-02-26 06:46:34.351000+00:00,147.076141,1,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,1,100,WebGLPlayer,05c9809b-f15b-4a30-af0c-d20d66f6c816,1.0,Uwg64xJVs28gxgiE4wmI,
100,2026-02-25 03:43:40.275000+00:00,29.8510017,0,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,2,100,WebGLPlayer,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,1.0,V0XT1zgpxSk5oKOABrIa,
100,1772600306175,12.8103371,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,7f53d27a-c359-41ae-835d-2a74c9d49126,1.1,VSk0CylT8kKtcucTWzCL,1772600306.0
100,2026-02-25 05:36:15.613000+00:00,65.71556,2,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.006048685,1,100,WebGLPlayer,10399faa-8e46-46d7-95ef-6e50cb706ee6,1.0,WGZ5HQAilEHUylHnvvUq,
100,1772656161331,44.62791,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,9b4a60c7-16b0-4935-9640-c687916e9cc7,1.1,WkfMgNR8Dkp6twJFpFqK,1772656161.0
100,2026-02-25 01:26:15.947000+00:00,89.57148,0,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,c896b358-4b46-4219-9b4f-e9cd038beb70,1.0,X9QuayCf9MC19AeXHUZL,
16,1772574550195,103.191917,1,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,16,WebGLPlayer,3e570f88-d491-4348-bcae-97ec49934a2b,1.1,XGLcmND3iiPtwHPVnb6l,1772574550.0
